name	type	start_time	duration	data
Async Serial	data	4.67233	0.00016493	0xFF
Async Serial	data	4.672503646	0.00016493	0xFF
Async Serial	data	4.672677292	0.00016493	0xFD
Async Serial	data	4.672850922	0.00016493	0x00
Async Serial	data	4.673024566	0.00016493	0xFE
Async Serial	data	4.673198212	0.00016493	0x03
Async Serial	data	4.673371856	0.00016493	0x00
Async Serial	data	4.673545486	0.00016493	0x08
Async Serial	data	4.67371913	0.00016493	0x07
Async Serial	data	4.673892776	0.00016493	0x42
Async Serial	data	5.172486612	0.00016493	0xFF
Async Serial	data	5.172660242	0.00016493	0xFF
Async Serial	data	5.172833888	0.00016493	0xFD
Async Serial	data	5.173007534	0.00016493	0x00
Async Serial	data	5.173181178	0.00016493	0xFE
Async Serial	data	5.173354808	0.00016493	0x07
Async Serial	data	5.173528452	0.00016493	0x00
Async Serial	data	5.173702098	0.00016493	0xC4
Async Serial	data	5.173875744	0.00016493	0xCD
Async Serial	data	5.174049374	0.00016493	0x02
Async Serial	data	5.174223018	0.00016493	0x8E
Async Serial	data	5.174396664	0.00016493	0x01
Async Serial	data	5.174570308	0.00016493	0x17
Async Serial	data	5.174743938	0.00016493	0x4C
Async Serial	data	7.26497792	0.00016493	0xFF
Async Serial	data	7.265151528	0.00016493	0xFF
Async Serial	data	7.265325136	0.00016493	0xFD
Async Serial	data	7.265498746	0.00016493	0x00
Async Serial	data	7.265672354	0.00016493	0x02
Async Serial	data	7.265845962	0.00016493	0x09
Async Serial	data	7.26601957	0.00016493	0x00
Async Serial	data	7.266193178	0.00016493	0x55
Async Serial	data	7.266366788	0.00016493	0x00
Async Serial	data	7.266540396	0.00016493	0xF6
Async Serial	data	7.266714006	0.00016493	0x47
Async Serial	data	7.266887614	0.00016493	0xA3
Async Serial	data	7.267061222	0.00016493	0xEE
Async Serial	data	7.267234832	0.00016493	0xFD
Async Serial	data	7.26740844	0.00016493	0xFF
Async Serial	data	7.26758205	0.00016493	0xB3
Async Serial	data	9.173565468	0.00016493	0xFF
Async Serial	data	9.173739116	0.00016493	0xFF
Async Serial	data	9.173912744	0.00016493	0xFD
Async Serial	data	9.17408639	0.00016493	0x00
Async Serial	data	9.174260034	0.00016493	0xFE
Async Serial	data	9.17443368	0.00016493	0x07
Async Serial	data	9.174607308	0.00016493	0x00
Async Serial	data	9.174780954	0.00016493	0xC4
Async Serial	data	9.1749546	0.00016493	0xCD
Async Serial	data	9.175128246	0.00016493	0x02
Async Serial	data	9.175301874	0.00016493	0x8E
Async Serial	data	9.17547552	0.00016493	0x01
Async Serial	data	9.175649164	0.00016493	0x17
Async Serial	data	9.17582281	0.00016493	0x4C
Async Serial	data	10.26884924	0.00016493	0xFF
Async Serial	data	10.269030406	0.00016493	0xFF
Async Serial	data	10.269204018	0.00016493	0xFD
Async Serial	data	10.26937763	0.00016493	0x00
Async Serial	data	10.26955124	0.00016493	0x01
Async Serial	data	10.26972485	0.00016493	0x09
Async Serial	data	10.269898462	0.00016493	0x00
Async Serial	data	10.270072074	0.00016493	0x55
Async Serial	data	10.270245684	0.00016493	0x00
Async Serial	data	10.270419296	0.00016493	0xA8
Async Serial	data	10.270592908	0.00016493	0x44
Async Serial	data	10.270766518	0.00016493	0x55
Async Serial	data	10.27094013	0.00016493	0x23
Async Serial	data	10.271113742	0.00016493	0xC7
Async Serial	data	10.271287354	0.00016493	0xB8
Async Serial	data	10.271460964	0.00016493	0x16
Async Serial	data	10.77117757	0.00016493	0xFF
Async Serial	data	10.771351178	0.00016493	0xFF
Async Serial	data	10.771524788	0.00016493	0xFD
Async Serial	data	10.771698396	0.00016493	0x00
Async Serial	data	10.771872004	0.00016493	0x02
Async Serial	data	10.772045612	0.00016493	0x09
Async Serial	data	10.77221922	0.00016493	0x00
Async Serial	data	10.77239283	0.00016493	0x55
Async Serial	data	10.772566438	0.00016493	0x00
Async Serial	data	10.772740046	0.00016493	0xFC
Async Serial	data	10.772913656	0.00016493	0x47
Async Serial	data	10.773087264	0.00016493	0x94
Async Serial	data	10.773260874	0.00016493	0x36
Async Serial	data	10.773434482	0.00016493	0x3A
Async Serial	data	10.773608088	0.00016493	0xFE
Async Serial	data	10.773781698	0.00016493	0xE1
Async Serial	data	13.174487528	0.00016493	0xFF
Async Serial	data	13.174661174	0.00016493	0xFF
Async Serial	data	13.174834804	0.00016493	0xFD
Async Serial	data	13.17500845	0.00016493	0x00
Async Serial	data	13.175182094	0.00016493	0xFE
Async Serial	data	13.17535574	0.00016493	0x07
Async Serial	data	13.175529368	0.00016493	0x00
Async Serial	data	13.175703014	0.00016493	0xC4
Async Serial	data	13.17587666	0.00016493	0xCD
Async Serial	data	13.176050306	0.00016493	0x02
Async Serial	data	13.176223934	0.00016493	0x8E
Async Serial	data	13.17639758	0.00016493	0x01
Async Serial	data	13.176571224	0.00016493	0x17
Async Serial	data	13.17674487	0.00016493	0x4C
